_time,label,cycle_id
2023-12-12 10:37:16.250,Normal,5_185
2023-12-12 11:39:24.537,Normal,5_198
2023-12-12 12:52:27.338,Normal,5_212
2023-12-12 14:10:07.349,Normal,5_228
2023-12-11 13:17:08.552,Normal,0_3
2023-12-12 06:37:55.446,Normal,5_137
2023-12-12 11:15:26.870,Normal,5_193
2023-12-11 14:49:33.770,Normal,2_5
2023-12-11 14:59:49.928,Normal,2_7
2023-12-12 06:03:38.942,Normal,5_130
2023-12-12 11:05:49.047,Normal,5_191
2023-12-12 07:47:51.256,Normal,5_151
2023-12-12 06:24:41.245,Normal,5_134
2023-12-12 15:13:51.357,Normal,5_240
2023-12-12 07:18:38.848,Normal,5_145
2023-12-12 08:59:18.949,Normal,5_165
2023-12-12 10:51:37.686,Normal,5_188
2023-12-12 09:12:08.741,Normal,5_168
2023-12-11 15:22:34.128,Normal,2_12
2023-12-12 05:56:22.848,Normal,5_129
2023-12-12 14:55:17.944,Normal,5_237
2023-12-12 08:42:24.336,Normal,5_162
2023-12-12 12:26:36.547,Normal,5_207
2023-12-12 09:19:32.004,Normal,5_169
2023-12-11 15:28:09.349,Normal,2_13
2023-12-12 12:28:18.551,Normal,5_207
2023-12-12 06:55:42.517,Normal,5_141
2023-12-12 05:35:00.339,Normal,5_124
2023-12-12 11:54:07.758,Normal,5_201
2023-12-12 12:02:14.854,Normal,5_202
2023-12-12 08:13:58.041,Normal,5_156
2023-12-12 09:23:20.535,Normal,5_170
2023-12-12 06:57:38.355,Normal,5_141
2023-12-11 14:30:28.763,Normal,2_1
2023-12-11 15:15:32.149,Normal,2_10
2023-12-11 15:09:07.950,Normal,2_9
2023-12-12 08:09:54.392,Normal,5_155
2023-12-11 15:08:12.362,Normal,2_9
2023-12-12 09:26:03.784,Normal,5_171
2023-12-12 09:01:25.454,Normal,5_166
2023-12-12 13:27:15.539,Normal,5_219
2023-12-12 08:43:29.818,Normal,5_162
2023-12-12 14:52:11.442,Normal,5_236
2023-12-12 04:56:55.251,Normal,5_117
2023-12-12 10:18:01.445,Normal,5_181
2023-12-11 14:07:37.351,Normal,1_4
2023-12-12 13:54:31.754,Normal,5_225
2023-12-12 07:18:39.239,Normal,5_145
2023-12-11 14:03:11.038,Normal,1_3
2023-12-12 08:27:46.251,Normal,5_159
2023-12-12 08:03:35.155,Normal,5_154
2023-12-12 06:40:57.554,Normal,5_138
2023-12-12 13:35:18.542,Normal,5_221
2023-12-12 11:52:59.063,Normal,5_200
2023-12-12 14:38:04.251,Normal,5_234
2023-12-12 09:11:50.742,Normal,5_168
2023-12-12 10:07:51.251,Normal,5_179
2023-12-12 06:53:10.645,Normal,5_140
2023-12-12 10:50:02.859,Normal,5_188
2023-12-12 12:50:06.753,Normal,5_212
2023-12-12 08:27:30.443,Normal,5_159
2023-12-12 05:17:08.554,Normal,5_121
2023-12-12 12:04:30.540,Normal,5_203
2023-12-11 15:04:29.656,Normal,2_8
2023-12-12 15:43:07.345,Normal,5_246
2023-12-12 06:54:14.859,Normal,5_140
2023-12-11 14:10:30.444,Normal,1_5
2023-12-12 12:18:09.955,Normal,5_205
2023-12-11 14:41:36.751,Normal,2_3
2023-12-12 11:03:22.266,Normal,5_190
2023-12-12 15:16:34.240,Normal,5_241
2023-12-12 10:08:01.950,Normal,5_179
2023-12-12 08:59:47.916,Normal,5_165
2023-12-12 09:53:43.149,Normal,5_176
2023-12-12 15:59:28.555,Normal,5_249
